"noun_id";"noun";"noun_count"
1;"esquerdananet";3
2;"assexual";18
3;"coisas";70
4;"odio";22
5;"povo";47
6;"discussao";13
7;"existencia";5
8;"jennasgirlfd";1
9;"obg";1
10;"linda";4
11;"meme";10
12;"vento";5
13;"menino";17
14;"cara";292
15;"manca";2
16;"gente";298
17;"mundo";220
18;"interesses";2
19;"tixispa";1
20;"dia";432
21;"bandeira";62
22;"capivara";4
23;"orgulho";127
24;"adaptacao";3
25;"exemplo";45
26;"pessoa";159
27;"interesse";19
28;"sextape";2
29;"caso";54
30;"etarista";1
31;"nao";577
32;"sexo";48
33;"genero";54
34;"homofobia";15
35;"falta";28
36;"filme";170
37;"cacador";2
38;"gay";51
39;"importancia";13
40;"representatividade";98
41;"fama";3
42;"jov";1
43;"tesao";7
44;"assexualidade";19
45;"interpretacao";6
46;"personagem";25
47;"atracao";43
48;"acesso";12
49;"relacoes";11
50;"geral";6
51;"infancia";7
52;"ninguem";9
53;"forma";58
54;"causa";71
55;"traumas";3
56;"assexualbi";1
57;"processo";17
58;"pessoas";173
59;"cores";23
60;"n";148
61;"pinguinho";1
62;"fogo";9
63;"rabo";7
64;"meses";49
65;"fic";3
66;"vontade";46
67;"coisa";202
68;"regulus";2
69;"linguagem";509
70;"amor";104
71;"jayjay";2
72;"toque";6
73;"tempo";141
74;"qualidade";22
75;"reggie";2
76;"presentinhos";3
77;"palavras";15
78;"afirmacao";3
79;"vezes";79
80;"ai";26
81;"generos";21
82;"menina";27
83;"conclusao";3
84;"msm";21
85;"taehy";2
86;"sorte";29
87;"namoro";10
88;"apanhamdaesposa";2
89;"namorados";9
90;"presentes";1
91;"seusua";1
92;"aromantica";1
93;"assexualnao";1
94;"dinheiro";120
95;"presente";8
96;"sobrevivencia";2
97;"redes";24
98;"traducao";8
99;"entrevista";16
100;"allos";1
101;"espectro";20
102;"dificuldade";5
103;"frases";3
104;"flerte";1
105;"kalmamilalt";1
106;"thatgirlleticia";1
107;"fanatic4polemic";1
108;"bbh";1
109;"lgbtqia";7
110;"pergunta";13
111;"projeto";18
112;"ano";96
113;"demi";4
114;"entao";50
115;"amg";14
116;"comunidade";45
117;"juliaejulai";1
118;"bloqueio";3
119;"humor";9
120;"smurfancha";1
121;"texto";7
122;"vida";137
123;"avc";1
124;"tipos";11
125;"prazer";8
126;"ansiedade";7
127;"assunto";16
128;"desenho";12
129;"casal";21
130;"mae";67
131;"cinema";19
132;"super";75
133;"algum";4
134;"zabelices";1
135;"pesquisas";3
136;"afeto";1
137;"romantismo";1
138;"nojento";3
139;"tambem";18
140;"ent";12
141;"penis";1
142;"cu";42
143;"dias";82
144;"esquina";2
145;"homens";59
146;"mulheres";54
147;"lazully";1
148;"dicas";7
149;"suporte";23
150;"pronome";46
151;"sexualidade";102
152;"gostos";3
153;"mina";14
154;"tchau";3
155;"tipo";133
156;"relacao";28
157;"ddnfjrnsjsk";1
158;"paciencia";9
159;"homem";195
160;"rainyladybug";1
161;"house";1
162;"mano";52
163;"vdd";20
164;"tumor";1
165;"cabeca";63
166;"namoradin";1
167;"sonho";35
168;"contapark";1
169;"rabisco";2
170;"happy";4
171;"identifiq";1
172;"odeiobladee";1
173;"ridicularizacao";1
174;"piadas";6
175;"pescoco";2
176;"mes";271
177;"pess";2
178;"thorcorneta";1
179;"informacao";12
180;"ha";54
181;"anos";227
182;"afinidade";1
183;"bi";6
184;"preferencia";21
185;"eieopedro";1
186;"carolfimose";1
187;"gato";18
188;"sentido";41
189;"disturbio";1
190;"uau";2
191;"amigo";52
192;"voce";111
193;"quwbrei";1
194;"dms";6
195;"drag";67
196;"hhnwjns";1
197;"eusobabaca";4
198;"questao";34
199;"individuo";5
200;"hormonios";2
201;"tratamento";17
202;"amizade";19
203;"oq";3
204;"cada";4
205;"mais";13
206;"relacionamento";52
207;"hora";108
208;"sera";28
209;"heterossexualidade";6
210;"wil4to";2
211;"dor";17
212;"medo";57
213;"llhllads";1
214;"loveless";4
215;"representativ";2
216;"mg";4
217;"namorado";19
218;"virjolas";1
219;"pressa";1
220;"to";24
221;"caras";37
222;"prova";8
223;"confissoeszxxx";3
224;"burro";14
225;"pan";13
226;"pareco";1
227;"emoji";11
228;"perguntas";9
229;"ata";6
230;"parte";59
231;"humanos";1
232;"mentira";9
233;"letra";12
234;"emzzo";1
235;"mcantuaria";5
236;"cor";80
237;"descricao";5
238;"imagem";27
239;"post";44
240;"maos";17
241;"ingles";13
242;"bissexual";263
243;"identidade";14
244;"sociedade";17
245;"normalideal";1
246;"nenhumanulararapoucacondicionadaaqui";1
247;"escrito";5
248;"aleatorio";8
249;"aces";1
250;"pensamento";8
251;"quao";14
252;"pautas";7
253;"intersexo";2
254;"gls";2
255;"universo";13
256;"cacuras";3
257;"merda";59
258;"luta";9
259;"errangabriel";1
260;"marca";37
261;"pneu";2
262;"alicepriestly";4
263;"biromantica";2
264;"travesti";6
265;"orientacao";16
266;"hanieshrk";1
267;"moot";1
268;"ninguwm";1
269;"cabeludo";2
270;"show";73
271;"sophia";1
272;"caixao";1
273;"lacos";1
274;"fato";36
275;"con";1
276;"aura";6
277;"feminino";6
278;"campo";34
279;"forca";35
280;"volta";45
281;"q";8
282;"certeza";47
283;"vez";180
284;"choque";4
285;"allosexuais";1
286;"ljoga";1
287;"dandara";2
288;"caidinha";1
289;"quesito";6
290;"aro";3
291;"calor";6
292;"maciez";1
293;"peitinho";2
294;"achismo";1
295;"desinformacao";2
296;"cmg";7
297;"fontes";6
298;"ponto";38
299;"hopegato";1
300;"piada";28
301;"conta";76
302;"opiniao";26
303;"opinioes";7
304;"sexualidades";4
305;"gatinho";6
306;"gwyn";4
307;"leo";6
308;"lance";6
309;"ally";1
310;"lerdinho";1
311;"alladin";1
312;"gamer";1
313;"sono";10
314;"agenero";3
315;"pronomes";56
316;"obs";3
317;"nome";115
318;"trocadilho";1
319;"vagabunda";1
320;"arromanticidade";3
321;"cadelinha";3
322;"ace";1
323;"doenca";9
324;"custo";5
325;"sinais";3
326;"pais";61
327;"arco";3
328;"heartstopper";5
329;"enre";1
330;"sigla";1
331;"pegu2726";1
332;"piercing";3
333;"mamilo";1
334;"realidade";29
335;"listras";1
336;"horizontal";1
337;"arromanticoaro";1
338;"assexualace";1
339;"menos";33
340;"pai";45
341;"home";3
342;"bandeirinha";2
343;"alem";22
344;"piadinha";1
345;"animefla";9
346;"mulher";195
347;"trauma";6
348;"demissexualeu";1
349;"maluco";16
350;"cabecinha";3
351;"surto";3
352;"nb";3
353;"fem";3
354;"p";31
355;"primas";1
356;"prima";10
357;"ficha";3
358;"admissao";1
359;"funcionarios";3
360;"cisgenero";1
361;"ultimo";8
362;"podio";2
363;"sohn";1
364;"biromantico";1
365;"problema";74
366;"transtorno";7
367;"jj17325";1
368;"leoaraujo757";4
369;"incel";4
370;"estr";1
371;"tumtumtumrum";1
372;"promocao";53
373;"jovem";9
374;"mistura";7
375;"horror";4
376;"romance";12
377;"ancestralidade";3
378;"elementos";3
379;"leitura";5
380;"segredo";8
381;"brindes";9
382;"arrasca";2
383;"meigostadechaa";5
384;"idadeeu";1
385;"susie";1
386;"anose";1
387;"lup1vitor";1
388;"diferenca";32
389;"foda";39
390;"aspectro";1
391;"flux";1
392;"junho";40
393;"personagens";17
394;"espectros";1
395;"twitter";28
396;"uso";34
397;"rede";16
398;"pandemia";4
399;"arrascaeta";4
400;"dona";7
401;"partir";12
402;"ngm";7
403;"demissexual";1
404;"identidades";3
405;"demissexualidade";1
406;"batfuinha";1
407;"esktrela";1
408;"heteros";10
409;"alicenakaburos";1
410;"canon";1
411;"asleepning";2
412;"eh";5
413;"anais";1
414;"unica";3
415;"sapatao";10
416;"msenziali";2
417;"sambarilove";4
418;"bandeiras";3
419;"alelannard";1
420;"arrombado";4
421;"favor";154
422;"riscos";2
423;"tcharaaam";1
424;"trato";1
425;"yoly";1
426;"comeca";5
427;"respeito";38
428;"stf";3
429;"dalagnol";1
430;"bolsonaro";7
431;"procurador";1
432;"problemas";29
433;"xander";1
434;"doctor";2
435;"opcoes";10
436;"bixo";5
437;"guris";1
438;"luz";16
439;"guia";4
440;"vicio";6
441;"virtudeda";1
442;"donzela";1
443;"anaguas";1
444;"pirataria";4
445;"bissexuais";19
446;"patologizacao";1
447;"preconceito";30
448;"vilao";3
449;"momento";70
450;"olhos";10
451;"lagrimas";3
452;"mami";1
453;"casa";136
454;"ironia";4
455;"peripecias";1
456;"conteudo";7
457;"entretenimento";9
458;"ment0lad0";5
459;"experiencias";4
460;"trajetoria";3
461;"livros";13
462;"verdade";56
463;"garota";8
464;"discurso";13
465;"experiencia";33
466;"comigo";26
467;"psicologa";2
468;"contexto";12
469;"pride";5
470;"flags";1
471;"oxi";3
472;"antidepressivo";1
473;"hormonalmental";1
474;"armario";10
475;"proprio";5
476;"exp";1
477;"s";4
478;"mi4zinhamilgrau";1
479;"bifedeunicornio";2
480;"inniefavz";1
481;"pedrodesenhador";1
482;"desinteresse";1
483;"alguem";8
484;"variante";1
485;"jeongin";1
486;"cabelo";83
487;"galera";34
488;"atividade";8
489;"ninfomaniaca";1
490;"so";4
491;"bendita";1
492;"t";4
493;"chuva";6
494;"frequencia";4
495;"alossexual";1
496;"louvadeusgamer1";1
497;"futuro";10
498;"sexualidadesgenerose";1
499;"pessoal";17
500;"empatia";1
501;"soniclovebot";1
502;"doente";3
503;"enredo";2
504;"longo";2
505;"temporada";153
506;"gracas";16
507;"remedio";7
508;"cansei";2
509;"relcao";5
510;"sapata";1
511;"misto";2
512;"munffim";2
513;"deus";64
514;"maes";2
515;"hostorias";2
516;"pridemonth";3
517;"jinanxia";1
518;"dratfagno";1
519;"poetaverazz";1
520;"fzr";4
521;"separacao";1
522;"termo";16
523;"palavra";27
524;"separatistas";1
525;"g";12
526;"padrao";15
527;"bolao";1
528;"detalhe";10
529;"porta";18
530;"fecundacao";1
531;"termos";10
532;"aroaces";1
533;"not";1
534;"culture";3
535;"companheira";1
536;"crianca";20
537;"barbie";6
538;"cenas";3
539;"struggle";1
540;"month";5
541;"altura";35
542;"ig";1
543;"todes";20
544;"fa";1
545;"filmes";26
546;"artigo";5
547;"passo";21
548;"icon";4
549;"simbolo";3
550;"bebidas";1
551;"roxa";1
552;"perfil";18
553;"aroace";1
554;"naobinarie";8
555;"bolas";4
556;"meio";41
557;"turma";10
558;"libertadepre";23
559;"japoneses";2
560;"tweek";1
561;"assuntos";9
562;"porra";63
563;"brubissouzaa";1
564;"ok";3
565;"site";26
566;"saudades";12
567;"saco";19
568;"treinos";5
569;"boiolagens";1
570;"sushizao";1
571;"duvidas";6
572;"maofaiiry";1
573;"livro";33
574;"argumento";5
575;"literatura";7
576;"questoes";6
577;"traumatizad";1
578;"unhas";9
579;"mooncatwar";1
580;"babado";2
581;"necessario";4
582;"enid";1
583;"vibe";18
584;"wandinha";1
585;"estresse";5
586;"brasileiro";14
587;"laco";1
588;"binario";3
589;"interior";8
590;"jeondeias";1
591;"disgrac";1
592;"linha";11
593;"encontro";11
594;"bezerral";1
595;"poco";4
596;"burrice";9
597;"lavigne";1
598;"colunas";1
599;"publico";21
600;"reconhecimento";8
601;"marcadores";1
602;"coluna";2
603;"criancas";10
604;"tio";9
605;"dono";16
606;"historia";156
